dataset: isotropic1024coarse, variable: pressure, time: 0.19, temporal method: none, spatial method: lag6, spatial operator: field
time	x_point	y_point	z_point	p
0.19	0.0	0.0	3.141592653589793	0.12341238558292389
0.19	0.0	0.049473900056532176	3.141592653589793	0.16383467614650726
0.19	0.0	0.09894780011306435	3.141592653589793	0.030605792999267578
0.19	0.0	0.14842170016959652	3.141592653589793	0.24772901833057404
0.19	0.0	0.1978956002261287	3.141592653589793	0.30511125922203064
0.19	0.0	0.2473695002826609	3.141592653589793	0.31801727414131165
0.19	0.0	0.29684340033919304	3.141592653589793	0.2477918118238449
0.19	0.0	0.3463173003957252	3.141592653589793	0.22018280625343323
0.19	0.0	0.3957912004522574	3.141592653589793	0.16214297711849213
0.19	0.0	0.4452651005087896	3.141592653589793	0.14334723353385925
0.19	0.0	0.4947390005653218	3.141592653589793	0.05434715747833252
0.19	0.0	0.5442129006218539	3.141592653589793	0.023052548989653587
0.19	0.0	0.5936868006783861	3.141592653589793	-0.001425110618583858
0.19	0.0	0.6431607007349183	3.141592653589793	-0.002462745411321521
0.19	0.0	0.6926346007914504	3.141592653589793	0.032357946038246155
0.19	0.0	0.7421085008479826	3.141592653589793	-0.03344173729419708
0.19	0.0	0.7915824009045148	3.141592653589793	0.12384416908025742
0.19	0.0	0.841056300961047	3.141592653589793	0.0910811796784401
0.19	0.0	0.8905302010175792	3.141592653589793	0.07666703313589096
0.19	0.0	0.9400041010741114	3.141592653589793	0.046804461628198624
0.19	0.0	0.9894780011306435	3.141592653589793	0.022876692935824394
0.19	0.0	1.0389519011871757	3.141592653589793	0.14970126748085022
0.19	0.0	1.0884258012437078	3.141592653589793	0.19145086407661438
0.19	0.0	1.13789970130024	3.141592653589793	0.23163312673568726
0.19	0.0	1.1873736013567722	3.141592653589793	-0.0371289886534214
0.19	0.0	1.2368475014133045	3.141592653589793	0.0023947989102452993
0.19	0.0	1.2863214014698365	3.141592653589793	0.0450047142803669
0.19	0.0	1.3357953015263688	3.141592653589793	0.15367290377616882
0.19	0.0	1.385269201582901	3.141592653589793	0.17367839813232422
0.19	0.0	1.4347431016394332	3.141592653589793	0.2357325404882431
0.19	0.0	1.4842170016959653	3.141592653589793	0.26562923192977905
0.19	0.0	1.5336909017524976	3.141592653589793	0.28570619225502014
0.19	0.0	1.5831648018090296	3.141592653589793	0.2651653289794922
0.19	0.0	1.6326387018655617	3.141592653589793	0.24133960902690887
0.19	0.0	1.682112601922094	3.141592653589793	0.24561738967895508
0.19	0.0	1.731586501978626	3.141592653589793	0.20488767325878143
0.19	0.0	1.7810604020351584	3.141592653589793	0.16790443658828735
0.19	0.0	1.8305343020916904	3.141592653589793	0.13421213626861572
0.19	0.0	1.8800082021482227	3.141592653589793	0.1311420053243637
0.19	0.0	1.9294821022047548	3.141592653589793	0.13624867796897888
0.19	0.0	1.978956002261287	3.141592653589793	0.16408656537532806
0.19	0.0	2.028429902317819	3.141592653589793	0.210622638463974
0.19	0.0	2.0779038023743515	3.141592653589793	0.20964102447032928
0.19	0.0	2.1273777024308838	3.141592653589793	0.19549758732318878
0.19	0.0	2.1768516024874156	3.141592653589793	0.16892021894454956
0.19	0.0	2.226325502543948	3.141592653589793	0.09755709767341614
0.19	0.0	2.27579940260048	3.141592653589793	0.12942653894424438
0.19	0.0	2.3252733026570125	3.141592653589793	0.10191359370946884
0.19	0.0	2.3747472027135443	3.141592653589793	-0.1975359320640564
0.19	0.0	2.4242211027700766	3.141592653589793	-0.06766586750745773
0.19	0.0	2.473695002826609	3.141592653589793	0.13498422503471375
0.19	0.0	2.5231689028831408	3.141592653589793	0.15559402108192444
0.19	0.0	2.572642802939673	3.141592653589793	0.18454599380493164
0.19	0.0	2.6221167029962054	3.141592653589793	0.10026990622282028
0.19	0.0	2.6715906030527377	3.141592653589793	0.258417546749115
